PAIS,PAIS_ISO3,CONTINENTE,ISO_CONTINENTE,OMS_REGION,FUENTE_DATOS,FECHA_ULT_ACTUALIZACION,TOTAL_VACUNACION_ACUM,NPER_VACUNADAS_1DOSIS,TOTAL_VACUNACION_PER100,NPER_VACUNADAS_1DOSIS_PER100,NPER_VACUNADAS_DOSIS_FULL,NPER_VACUNADAS_DOSIS_FULL_PER100,FECHA_PRIMERA_VACUNA,N_TIPOS_VACUNAS_USADAS,NPER_CON_DOSIS_ADICIONAL,NPER_CON_DOSIS_ADIDICIONAL_PER100
Algeria,DZA,Africa,AF,AFRO,REPORTING,04-09-2022,15267442.0,7840131,34.817,17.879,6481186,14.78,30-01-2021,4.0,575651.0,1.313
Angola,AGO,Africa,AF,AFRO,REPORTING,18-06-2023,25962530.0,15980639,78.994,48.623,9010599,27.416,10-03-2021,1.0,2220003.0,6.755
Armenia,ARM,Asia,AS,EURO,REPORTING,04-06-2023,2158796.0,1122646,72.9,37.886,996804,33.639,27-01-2021,10.0,45446.0,1.534
Aruba,ABW,North America,NA,AMRO,REPORTING,02-06-2023,216974.0,90449,203.224,84.717,84297,78.955,17-02-2021,2.0,35659.0,33.399
Brazil,BRA,South America,SA,AMRO,REPORTING,02-06-2023,513329718.0,188746389,241.499,88.797,171459392,80.664,17-01-2021,5.0,110382337.0,51.93
Burkina Faso,BFA,Africa,AF,AFRO,REPORTING,19-03-2023,6674010.0,5152110,31.928,24.647,4129254,19.754,02-06-2021,3.0,0.0,0.0
Costa Rica,CRI,North America,NA,AMRO,REPORTING,02-06-2023,13371989.0,4641899,262.499,91.123,4358863,85.567,24-12-2020,3.0,2957974.0,58.066
Dominica,DMA,North America,NA,AMRO,REPORTING,02-06-2023,67647.0,32995,93.966,45.832,30659,42.587,12-02-2021,5.0,3993.0,5.547
Finland,FIN,Europe,EU,EURO,REPORTING,11-06-2023,13262633.0,4547390,240.0,82.301,4364869,78.998,23-12-2020,5.0,3088223.0,55.892
French Guiana,GUF,South America,SA,AMRO,REPORTING,02-06-2023,242193.0,100299,81.087,33.581,90464,30.288,13-01-2021,3.0,46331.0,15.512
Gabon,GAB,Africa,AF,AFRO,REPORTING,05-02-2023,572672.0,311244,25.73,13.984,257471,11.568,23-03-2021,3.0,2592.0,0.116
Haiti,HTI,North America,NA,AMRO,REPORTING,02-06-2023,664150.0,521396,5.825,4.573,350403,3.073,0,2.0,0.0,0.0
Iceland,ISL,Europe,EU,EURO,REPORTING,16-04-2023,869976.0,307269,238.9,84.403,297921,81.816,30-12-2020,5.0,254556.0,69.907
Jersey,JEY,Europe,EU,EURO,OWID,29-01-2023,266953.0,84365,247.646,78.264,81882,75.96,0,3.0,73662.0,68.335
Lebanon,LBN,Asia,AS,EMRO,REPORTING,22-12-2022,5814699.0,2740227,85.192,40.147,2414223,35.371,14-02-2021,10.0,660249.0,9.673
Malaysia,MYS,Asia,AS,WPRO,REPORTING,04-06-2023,72628221.0,28137456,224.397,86.935,27550446,85.122,24-02-2021,8.0,16336757.0,50.475
Marshall Islands,MHL,Oceania,OC,WPRO,REPORTING,24-03-2023,110742.0,47077,187.083,79.53,40689,68.738,29-12-2020,3.0,18559.0,31.353
Myanmar,MMR,Asia,AS,SEARO,REPORTING,02-05-2023,89454913.0,40354937,164.41,74.169,35196377,64.688,27-01-2021,2.0,13903599.0,25.553
Oman,OMN,Asia,AS,EMRO,REPORTING,25-10-2022,7086050.0,3257365,138.762,63.787,3048826,59.703,29-12-2020,11.0,779859.0,15.272
Pakistan,PAK,Asia,AS,EMRO,REPORTING,20-06-2023,339759802.0,165560136,153.812,74.951,140466099,63.59,03-02-2021,11.0,51955559.0,23.521
Republic of Moldova,MDA,Europe,EU,EURO,REPORTING,11-06-2023,2288948.0,1108879,56.7,27.489,1078505,26.736,03-03-2021,7.0,402985.0,9.99
Saint Kitts and Nevis,KNA,North America,NA,AMRO,REPORTING,02-06-2023,64297.0,33794,120.877,63.532,27000,50.76,22-02-2021,3.0,3465.0,6.514
Slovenia,SVN,Europe,EU,EURO,REPORTING,04-06-2023,3006861.0,1222336,143.5,58.321,1192059,56.877,23-12-2020,8.0,649891.0,31.008
Somalia,SOM,Africa,AF,EMRO,REPORTING,30-04-2023,9443849.0,8370355,59.421,52.666,7035193,44.265,16-03-2021,11.0,0.0,0.0
Togo,TGO,Africa,AF,AFRO,REPORTING,28-05-2023,3405893.0,2248264,41.14,27.157,1554066,18.772,10-03-2021,1.0,427804.0,5.168
Tokelau,TKL,Oceania,OC,WPRO,REPORTING,05-12-2022,6342.0,2203,469.778,163.185,2203,163.185,20-07-2021,1.0,968.0,71.704
Tunisia,TUN,Africa,AF,EMRO,REPORTING,20-06-2023,13253317.0,7218871,112.139,61.08,6401841,54.167,13-03-2021,10.0,1258577.0,10.649
Vanuatu,VUT,Oceania,OC,WPRO,REPORTING,20-02-2023,355430.0,176624,115.721,57.505,162250,52.825,02-06-2021,3.0,16556.0,5.39
Andorra,AND,Europe,EU,EURO,REPORTING,21-05-2023,157059.0,57912,203.3,76.023,53500,70.231,20-01-2021,4.0,43068.0,56.537
Anguilla,AIA,North America,NA,AMRO,REPORTING,02-06-2023,24611.0,10854,164.051,72.35,10380,69.191,05-02-2021,2.0,3046.0,20.304
Bahamas,BHS,North America,NA,AMRO,REPORTING,02-06-2023,366359.0,174810,93.163,44.453,166972,42.46,14-03-2021,4.0,33717.0,8.574
